Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,JENNIE (제니),KOR,37,24,Pop,5,k-pop,1
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,CORTIS,KOR,44,27,Pop,6,k-pop,0
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,Zara Larsson,SWE,55,32,Pop,31,Mainstream Pop,0
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,Olivia Dean,GBR,59,34,Pop,33,Mainstream Pop,5
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,The Chainsmokers,USA,124,5,Electronic,5,Dance,13
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,Tate McRae,CAN,141,71,Pop,58,Mainstream Pop,3
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,sombr,USA,156,78,Pop,9,Indie Pop,6
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,Lil Uzi Vert,USA,169,26,Hip Hop,15,Trap,0
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,Charli XCX,GBR,235,108,Pop,74,Mainstream Pop,14
Lollapalooza,2026,July/August,7,Jul 30 - Aug 2 2026,The Neighbourhood,USA,240,19,Rock,2,Indie Rock,0
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,KATSEYE,USA,18,14,Pop,13,Mainstream Pop,6
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Sabrina Carpenter,USA,21,17,Pop,15,Mainstream Pop,9
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Olivia Rodrigo,USA,39,25,Pop,22,Mainstream Pop,13
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,TWICE (트와이스),KOR,95,50,Pop,11,k-pop,0
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Alex Warren,USA,116,56,Pop,4,Indie Pop,12
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,A$AP Rocky,USA,171,27,Hip Hop,26,Contemporary Hip Hop,7
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Tyler the Creator,USA,198,30,Hip Hop,28,Contemporary Hip Hop,12
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Luke Combs,USA,205,3,Country,3,Contemporary Country,7
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Martin Garrix,NLD,236,9,Electronic,10,Dance,22
Lollapalooza,2025,July/August,7,Jul 31 - Aug 3 2025,Gracie Abrams,USA,336,149,Pop,19,Indie Pop,11
Lollapalooza,2024,August,8,Aug 1-4 2024,Stray Kids,KOR,32,22,Pop,4,k-pop,0
Lollapalooza,2024,August,8,Aug 1-4 2024,Olivia Dean,GBR,59,34,Pop,33,Mainstream Pop,5
Lollapalooza,2024,August,8,Aug 1-4 2024,Future,USA,63,10,Hip Hop,2,Trap,4
Lollapalooza,2024,August,8,Aug 1-4 2024,SZA,USA,71,1,R&B,9,Contemporary R&B,0
Lollapalooza,2024,August,8,Aug 1-4 2024,Laufey,USA,123,1,Jazz,1,Smooth Jazz,2
Lollapalooza,2024,August,8,Aug 1-4 2024,Tate McRae,CAN,141,71,Pop,58,Mainstream Pop,3
Lollapalooza,2024,August,8,Aug 1-4 2024,Megan Thee Stallion,USA,142,21,Hip Hop,9,Alternative Hip Hop,1
Lollapalooza,2024,August,8,Aug 1-4 2024,Raye,GBR,147,74,Pop,59,Mainstream Pop,16
Lollapalooza,2024,August,8,Aug 1-4 2024,Teddy Swims,USA,180,88,Pop,66,Mainstream Pop,6
Lollapalooza,2024,August,8,Aug 1-4 2024,Tyla,ZAF,210,96,Pop,69,Mainstream Pop,8
Lollapalooza,2023,August,8,Aug 3-6 2023,Billie Eilish,USA,8,6,Pop,6,Mainstream Pop,0
Lollapalooza,2023,August,8,Aug 3-6 2023,Karol G,COL,16,2,Latin,2,Reggaeton,1
Lollapalooza,2023,August,8,Aug 3-6 2023,Sabrina Carpenter,USA,21,17,Pop,15,Mainstream Pop,10
Lollapalooza,2023,August,8,Aug 3-6 2023,Lana Del Rey,USA,31,21,Pop,20,Mainstream Pop,1
Lollapalooza,2023,August,8,Aug 3-6 2023,Kendrick Lamar,USA,49,5,Hip Hop,6,Contemporary Hip Hop,3
Lollapalooza,2023,August,8,Aug 3-6 2023,Alan Walker,NOR,72,3,Electronic,3,Dance,15
Lollapalooza,2023,August,8,Aug 3-6 2023,Red Hot Chili Peppers,USA,120,10,Rock,1,Funk Rock,0
Lollapalooza,2023,August,8,Aug 3-6 2023,TOMORROW X TOGETHER,KOR,190,92,Pop,18,k-pop,0
Lollapalooza,2023,August,8,Aug 3-6 2023,Noah Kahan,USA,257,116,Pop,78,Mainstream Pop,13
Lollapalooza,2023,August,8,Aug 3-6 2023,Tems,NGA,321,10,R&B,24,Contemporary R&B,6
Lollapalooza,2022,July,7,Jul 28-31 2022,Dua Lipa,GBR,42,26,Pop,24,Mainstream Pop,2
Lollapalooza,2022,July,7,Jul 28-31 2022,Doja Cat,USA,61,35,Pop,35,Mainstream Pop,3
Lollapalooza,2022,July,7,Jul 28-31 2022,Metallica,USA,96,1,Metal,1,Heavy Metal,5
Lollapalooza,2022,July,7,Jul 28-31 2022,Lil Baby,USA,107,18,Hip Hop,8,Trap,3
Lollapalooza,2022,July,7,Jul 28-31 2022,J. Cole,USA,110,19,Hip Hop,20,Contemporary Hip Hop,0
Lollapalooza,2022,July,7,Jul 28-31 2022,Don Toliver,USA,112,20,Hip Hop,9,Trap,5
Lollapalooza,2022,July,7,Jul 28-31 2022,Green Day,USA,168,1,Punk,1,Punk Rock,18
Lollapalooza,2022,July,7,Jul 28-31 2022,PinkPantheress,GBR,178,86,Pop,10,Indie Pop,9
Lollapalooza,2022,July,7,Jul 28-31 2022,Charli XCX,GBR,235,108,Pop,74,Mainstream Pop,14
Lollapalooza,2022,July,7,Jul 28-31 2022,Gracie Abrams,USA,336,149,Pop,19,Indie Pop,12
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Miley Cyrus,USA,48,29,Pop,27,Mainstream Pop,0
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Post Malone,USA,54,7,Hip Hop,2,Alternative Hip Hop,12
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Marshmello,USA,62,2,Electronic,2,Dance,9
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Tate McRae,CAN,141,71,Pop,58,Mainstream Pop,3
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Megan Thee Stallion,USA,142,21,Hip Hop,9,Alternative Hip Hop,1
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Tyler the Creator,USA,198,30,Hip Hop,28,Contemporary Hip Hop,13
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Young Thug,USA,204,31,Hip Hop,17,Trap,7
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,DaBaby,USA,209,32,Hip Hop,30,Contemporary Hip Hop,0
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Playboi Carti,USA,239,38,Hip Hop,23,Trap,1
Lollapalooza,2021,July/August,7,Jul 29 - Aug 1 2021,Foo Fighters,USA,394,29,Rock,18,Alternative Rock,1
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,Miley Cyrus,USA,48,29,Pop,27,Mainstream Pop,0
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,DJ Snake,FRA,138,6,Electronic,6,Dance,27
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,$uicideBoy$,USA,419,75,Hip Hop,29,Alternative Hip Hop,1
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,Beabadoobee,GBR,577,49,Rock,6,Indie Rock,9
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,Lost Frequencies,BEL,1061,34,Electronic,39,Dance,19
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,Rage Against The Machine,USA,1240,117,Rock,62,Alternative Rock,0
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,Blackbear,USA,1282,58,R&B,77,Contemporary R&B,2
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,R3hab,NLD,1405,51,Electronic,50,Dance,12
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,JID,USA,1445,239,Hip Hop,99,Alternative Hip Hop,0
Lollapalooza,2020,July/August,7,Jul 30 - Aug 2 2020,AnnenMayKantereit,DEU,2158,203,Rock,137,Pop Rock,4
Lollapalooza,2019,August,8,Aug 1-4 2019,Ariana Grande,USA,9,7,Pop,7,Mainstream Pop,0
Lollapalooza,2019,August,8,Aug 1-4 2019,J Balvin,COL,25,4,Latin,4,Reggaeton,10
Lollapalooza,2019,August,8,Aug 1-4 2019,Lil Wayne,USA,80,14,Hip Hop,15,Contemporary Hip Hop,1
Lollapalooza,2019,August,8,Aug 1-4 2019,Lil Baby,USA,107,18,Hip Hop,8,Trap,3
Lollapalooza,2019,August,8,Aug 1-4 2019,The Chainsmokers,USA,124,5,Electronic,5,Dance,13
Lollapalooza,2019,August,8,Aug 1-4 2019,Twenty One Pilots,USA,136,68,Pop,7,Indie Pop,2
Lollapalooza,2019,August,8,Aug 1-4 2019,21 Savage,USA,146,22,Hip Hop,12,Trap,1
Lollapalooza,2019,August,8,Aug 1-4 2019,Tame Impala,AUS,150,13,Rock,1,Psychedelic Rock,1
Lollapalooza,2019,August,8,Aug 1-4 2019,ROSALÍA,ESP,159,80,Pop,13,Latin Pop,0
Lollapalooza,2019,August,8,Aug 1-4 2019,123 Andrés,USA,164,82,Pop,15,Latin Pop,0
Lollapalooza,2018,August,8,Aug 2-5 2018,Bruno Mars,USA,6,4,Pop,4,Mainstream Pop,0
Lollapalooza,2018,August,8,Aug 2-5 2018,The Weeknd,CAN,7,5,Pop,5,Mainstream Pop,1
Lollapalooza,2018,August,8,Aug 2-5 2018,Billie Eilish,USA,8,6,Pop,6,Mainstream Pop,0
Lollapalooza,2018,August,8,Aug 2-5 2018,Dua Lipa,GBR,42,26,Pop,24,Mainstream Pop,2
Lollapalooza,2018,August,8,Aug 2-5 2018,Travis Scott,USA,46,4,Hip Hop,5,Contemporary Hip Hop,3
Lollapalooza,2018,August,8,Aug 2-5 2018,Camila Cabello,USA,50,30,Pop,28,Mainstream Pop,7
Lollapalooza,2018,August,8,Aug 2-5 2018,Post Malone,USA,54,7,Hip Hop,2,Alternative Hip Hop,12
Lollapalooza,2018,August,8,Aug 2-5 2018,Alan Walker,NOR,72,3,Electronic,3,Dance,15
Lollapalooza,2018,August,8,Aug 2-5 2018,Arctic Monkeys,GBR,129,11,Rock,1,Indie Rock,0
Lollapalooza,2018,August,8,Aug 2-5 2018,Lil Uzi Vert,USA,169,26,Hip Hop,15,Trap,0
