Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Drake,CAN,5,1,1,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Burna Boy,NGA,226,1,1,African,Afrobeat,3 Festivals,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",PARTYNEXTDOOR,CAN,327,10,23,R&B,Contemporary R&B,2 Festivals,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Vybz Kartel,JAM,657,4,4,Reggae,Dancehall,1 Festival,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",BigXthaPlug,USA,665,121,87,Hip Hop,Contemporary Hip Hop,17 Festivals,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",SUMMER WALKER,USA,685,32,46,R&B,Contemporary R&B,1 Festival,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Popcaan,JAM,1102,10,8,Reggae,Dancehall,1 Festival,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Spice,JAM,1429,13,10,Reggae,Dancehall,2 Festivals,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Leon Thomas,USA,1532,73,93,R&B,Contemporary R&B,7 Festivals,
Wireless Festival - Finsbury Park,2025,July,7,"Jul 11-13",Odumodublvck,NGA,1741,29,29,African,Afrobeat,4 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Nicki Minaj,USA,40,3,4,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Future,USA,62,11,2,Hip Hop,Trap,4 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Don Toliver,USA,116,19,10,Hip Hop,Trap,6 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Sean Paul,JAM,125,1,1,Reggae,Dancehall,14 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",21 Savage,USA,146,22,13,Hip Hop,Trap,1 Festival,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Gunna,USA,192,28,16,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Tyla,ZAF,249,114,77,Pop,Mainstream Pop,8 Festivals,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Rema,NGA,399,5,6,African,Afrobeat,1 Festival,
Wireless Festival - Finsbury Park,2024,July,7,"Jul 12-14",Asake,NGA,423,6,7,African,Afrobeat,2 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Travis Scott,USA,51,6,7,Hip Hop,Contemporary Hip Hop,3 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",50 Cent,USA,59,9,9,Hip Hop,Contemporary Hip Hop,6 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Lil Uzi Vert,USA,173,26,15,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Playboi Carti,USA,242,38,24,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Metro Boomin,USA,248,40,25,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Lil Durk,USA,262,43,16,Hip Hop,Alternative Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Latto,USA,317,52,20,Hip Hop,Alternative Hip Hop,4 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",NLE Choppa,USA,444,80,39,Hip Hop,Trap,3 Festivals,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Bryson Tiller,USA,496,23,36,R&B,Contemporary R&B,0 Festival,
Wireless Festival - Finsbury Park,2023,July,7,"Jul 7-9",Lil Tjay,USA,514,97,47,Hip Hop,Trap,3 Festivals,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Nicki Minaj,USA,40,3,4,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Cardi B,USA,58,8,8,Hip Hop,Contemporary Hip Hop,1 Festival,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",SZA,USA,89,1,9,R&B,Contemporary R&B,0 Festival,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Lil Baby,USA,107,18,8,Hip Hop,Trap,3 Festivals,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Megan Thee Stallion,USA,145,21,10,Hip Hop,Alternative Hip Hop,1 Festival,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Burna Boy,NGA,226,1,1,African,Afrobeat,4 Festivals,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Lil Durk,USA,262,43,16,Hip Hop,Alternative Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Ayra Starr,NGA,370,4,5,African,Afrobeat,4 Festivals,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Rema,NGA,399,5,6,African,Afrobeat,1 Festival,
Wireless Festival - Finsbury Park,2022,July,7,"Jul 8-10",Roddy Ricch,USA,477,88,42,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Future,USA,62,11,2,Hip Hop,Trap,4 Festivals,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Lil Baby,USA,107,18,8,Hip Hop,Trap,3 Festivals,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Megan Thee Stallion,USA,145,21,10,Hip Hop,Alternative Hip Hop,1 Festival,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Central Cee,GBR,163,23,11,Hip Hop,Alternative Hip Hop,7 Festivals,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Lil Uzi Vert,USA,173,26,15,Hip Hop,Trap,0 Festival,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Gunna,USA,192,28,16,Hip Hop,Trap,2 Festivals,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Young Thug,USA,203,30,18,Hip Hop,Trap,7 Festivals,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Rick Ross,USA,432,76,59,Hip Hop,Contemporary Hip Hop,1 Festival,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2021,July,7,"Sep 10-12",Polo G,USA,509,94,46,Hip Hop,Trap,0 Festival,Moved to Crystal Palace Park Sep 2021
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Lil Baby,USA,107,18,8,Hip Hop,Trap,3 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Lil Uzi Vert,USA,173,26,15,Hip Hop,Trap,0 Festival,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",A$AP Rocky,USA,179,27,26,Hip Hop,Contemporary Hip Hop,8 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Young Thug,USA,203,30,18,Hip Hop,Trap,7 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Burna Boy,NGA,226,1,1,African,Afrobeat,4 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",DaBaby,USA,228,35,33,Hip Hop,Contemporary Hip Hop,0 Festival,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Playboi Carti,USA,242,38,24,Hip Hop,Trap,2 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",Pop Smoke,USA,375,64,51,Hip Hop,Contemporary Hip Hop,0 Festival,COVID-19 cancellation
Wireless Festival - Finsbury Park,2020,July,7,"Jul 3-5 (cancelled)",NLE Choppa,USA,444,80,39,Hip Hop,Trap,3 Festivals,COVID-19 cancellation
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Travis Scott,USA,51,6,7,Hip Hop,Contemporary Hip Hop,3 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Cardi B,USA,58,8,8,Hip Hop,Contemporary Hip Hop,1 Festival,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Future,USA,62,11,2,Hip Hop,Trap,4 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Juice WRLD,USA,103,17,7,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Lil Baby,USA,107,18,8,Hip Hop,Trap,3 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Megan Thee Stallion,USA,145,21,10,Hip Hop,Alternative Hip Hop,1 Festival,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Gunna,USA,192,28,16,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Young Thug,USA,203,30,18,Hip Hop,Trap,7 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Tyga,USA,206,31,29,Hip Hop,Contemporary Hip Hop,2 Festivals,
Wireless Festival - Finsbury Park,2019,July,7,"Jul 5-7",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",J. Cole,USA,118,20,21,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Raye,GBR,151,73,57,Pop,Mainstream Pop,16 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Lil Uzi Vert,USA,173,26,15,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Playboi Carti,USA,242,38,24,Hip Hop,Trap,2 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",DJ Khaled,USA,243,39,35,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",French Montana,USA,271,45,37,Hip Hop,Contemporary Hip Hop,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Davido,NGA,303,3,4,African,Afrobeat,4 Festivals,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival,
Wireless Festival - Finsbury Park,2018,July,7,"Jul 6-8",PARTYNEXTDOOR,CAN,327,10,23,R&B,Contemporary R&B,2 Festivals,
